Raport2: CUMPARATE DE MAI MULTE ORI MAI MARI DECAT 0

1 """Blanketed"" Eggplant ":

10911 Strawberry Soufflé with Sliced Strawberries :
Rating: 4.375
Pret: 97.0

10912 Strawberry Sufganiyot :
Rating: 5.0
Pret: 20.0

10913 Strawberry Sundaes with Prosecco Sabayon :
Rating: 4.375
Pret: 71.0

10914 Strawberry Syrup :
Rating: 5.0
Pret: 20.0

10915 Strawberry Tiramisu :
Rating: 4.375
Pret: 63.0

10916 Strawberry Vin Santo Sauce :
Rating: 5.0
Pret: 12.0

10917 Strawberry Vinegar :
Rating: 5.0
Pret: 62.0

10918 Strawberry and Apricot Linzertorte Hearts :
Rating: 4.375
Pret: 93.0

10919 Strawberry and Banana Tartlets in Coconut Pastry Shells :
Rating: 4.375
Pret: 99.0

10920 Strawberry and Blueberry Summer Pudding :
Rating: 5.0
Pret: 44.0

10921 Strawberry and Chocolate Baked Alaska :
Rating: 2.5
Pret: 92.0

10922 Strawberry and Cream Cake with Cardamom Syrup :
Rating: 4.375
Pret: 50.0

10923 Strawberry and Orange Fools :
Rating: 5.0
Pret: 93.0

10924 Strawberry and Peach Sangria :
Rating: 5.0
Pret: 59.0

10925 Strawberry-Almond Cornmeal Cake :
Rating: 5.0
Pret: 43.0

10926 Strawberry-Banana Smoothie :
Rating: 4.375
Pret: 11.0

10927 Strawberry-Blueberry Napoleons :
Rating: 0.0
Pret: 97.0

10928 Strawberry-Blueberry Pops :
Rating: 0.0
Pret: 16.0

10929 Strawberry-Cheesecake Ice Cream :
Rating: 3.75
Pret: 64.0

10930 Strawberry-Cucumber Salad with Lemon Cream :
Rating: 5.0
Pret: 68.0

10931 Strawberry-Ginger Lemonade :
Rating: 0.0
Pret: 20.0

10932 Strawberry-Ginger Punch :
Rating: 0.0
Pret: 56.0

10933 Strawberry-Lemon Cream Tart :
Rating: 4.375
Pret: 63.0

10934 Strawberry-Orange Ricotta Cake with Pistachios :
Rating: 3.125
Pret: 100.0

10935 Strawberry-Rhubarb Compote with Ginger and Lime :
Rating: 5.0
Pret: 13.0

10936 Strawberry-Rhubarb Crisps with Cardamom and Nutmeg :
Rating: 4.375
Pret: 23.0

10937 Strawberry-Rhubarb Semifreddo :
Rating: 4.375
Pret: 62.0

10938 Strawberry-Rhubarb Shortcakes :
Rating: 4.375
Pret: 72.0

10939 Strawberry-Rhubarb Sundaes :
Rating: 4.375
Pret: 98.0

10940 Strawberry-Soy Milk Shake :
Rating: 3.75
Pret: 15.0

10941 Strawberry-Strawberry Cheesecake :
Rating: 3.75
Pret: 75.0

10942 Strawberry-Topped Cheesecake with Graham Cracker Crust :
Rating: 3.75
Pret: 16.0

10943 Strawberry-Topped Lime Mousse Tart :
Rating: 4.375
Pret: 45.0

10944 Strawberry–Pistachio Crumble Pie :
Rating: 0.0
Pret: 28.0

10945 Streusel Küchen :
Rating: 3.75
Pret: 96.0

10946 Streusel Sour Cream Coffeecakes :
Rating: 5.0
Pret: 12.0

10947 Streusel Topped Pear and Blueberry Pie :
Rating: 4.375
Pret: 34.0

10948 Streusel-Roasted Plums with Vanilla Ice Cream :
Rating: 5.0
Pret: 73.0

10949 String Bean & Arugula Salad :
Rating: 4.375
Pret: 20.0

10950 Strip Steak With Lemony Yogurt and Radishes :
Rating: 5.0
Pret: 55.0

10951 Striped Bass in Agrodolce Sauce :
Rating: 4.375
Pret: 19.0

10952 Striped Bass with Pipian Sauce :
Rating: 4.375
Pret: 90.0

10953 Striped Bass with Saffron Vegetables and Spiced Broccoli Rabe :
Rating: 3.75
Pret: 16.0

10954 Strozzapreti Carbonara With Radishes :
Rating: 3.75
Pret: 16.0

10955 Strozzapreti with Mushrooms and Ricotta :
Rating: 4.375
Pret: 53.0

10956 Strozzapreti with Oxtail Ragù and Horseradish Crumbs :
Rating: 4.375
Pret: 53.0

10957 Strozzapreti with Spinach and Preserved Lemon :
Rating: 5.0
Pret: 94.0

10958 Stuffed Artichokes :
Rating: 3.75
Pret: 92.0

10959 Stuffed Baked Potatoes with Blue Cheese and Rosemary :
Rating: 4.375
Pret: 24.0

10960 Stuffed Baked Potatoes with Horseradish Cream :
Rating: 3.75
Pret: 60.0

10961 Stuffed Chicken Breasts with Cider Vinegar Sauce :
Rating: 2.5
Pret: 86.0

10962 Stuffed Chicken Breasts with Rosemary-Orange Dressing :
Rating: 4.375
Pret: 78.0

10963 Stuffed Cornish Hens with Port Sauce :
Rating: 3.125
Pret: 79.0

10964 Stuffed Dates :
Rating: 0.0
Pret: 93.0

10965 Stuffed Eggs with Caviar :
Rating: 3.75
Pret: 45.0

10966 Stuffed Eggs with Goat Cheese and Dill :
Rating: 3.125
Pret: 79.0

10967 Stuffed Italian Eggplant :
Rating: 4.375
Pret: 31.0

10968 Stuffed Leg of Lamb (Fakdeh Mehshi Khodra) :
Rating: 4.375
Pret: 90.0

10969 Stuffed Marinated Portabella Mushrooms :
Rating: 4.375
Pret: 100.0

10970 Stuffed Masa Pockets with Green Chiles and Cheese :
Rating: 4.375
Pret: 29.0

10971 Stuffed Nanking Brined Turkey with Five Treasure Sweet Rice :
Rating: 4.375
Pret: 24.0

10972 Stuffed Onions with Spiced Lamb and Pomegranate :
Rating: 5.0
Pret: 75.0

10973 Stuffed Peppers :
Rating: 3.75
Pret: 32.0

10974 Stuffed Poblano Chiles with Avocado and Potatoes :
Rating: 3.125
Pret: 24.0

10975 Stuffed Poblano Chiles with Walnut Sauce and Pomegranate Seeds :
Rating: 3.75
Pret: 16.0

10976 Stuffed Pork Tenderloin with Mustard-Caper Sauce :
Rating: 4.375
Pret: 31.0

10977 Stuffed Rolled Tortillas :
Rating: 4.375
Pret: 10.0

10978 Stuffed Sweet Potatoes :
Rating: 3.125
Pret: 82.0

10979 Stuffed Tortillas with Two Sauces :
Rating: 4.375
Pret: 99.0

10980 Stuffed Vine Leaves :
Rating: 4.375
Pret: 80.0

10981 Stuffing Fried Rice :
Rating: 3.75
Pret: 26.0

10982 Succotash :
Rating: 4.375
Pret: 93.0

10983 Succotash Soup with Black Pepper Croutons :
Rating: 4.375
Pret: 17.0

10984 Succotash and Goat Cheese Quiche :
Rating: 4.375
Pret: 93.0

10985 Suet Pastry Dough :
Rating: 1.25
Pret: 21.0

10986 Suffering Baptist :
Rating: 0.0
Pret: 97.0

10987 Sugar Snap Pea Tempura :
Rating: 3.75
Pret: 31.0

10988 Sugar Snap Pea and Cabbage Slaw :
Rating: 0.0
Pret: 71.0

10989 Sugar Snap Peas and Pasta :
Rating: 3.75
Pret: 65.0

10990 Sugar Snap Peas with Ginger and Garlic :
Rating: 3.125
Pret: 20.0

10991 Sugar Snap Peas with Lemon Butter :
Rating: 4.375
Pret: 89.0

10992 Sugar Snap Peas with Tarragon Butter :
Rating: 4.375
Pret: 83.0

10993 Sugar Snap Peas with Toasted Sesame Seeds :
Rating: 4.375
Pret: 34.0

10994 Sugar Snap Salad :
Rating: 4.375
Pret: 34.0

10995 Sugar-Crusted Chocolate Chip and Cherry Bread Puddings :
Rating: 4.375
Pret: 23.0

10996 Sugarcane Marinade :
Rating: 4.375
Pret: 91.0

10997 Sugarcane Shrimp :
Rating: 2.5
Pret: 78.0

10998 Sugarplum-Orange and Apricot-Earl Grey Jam Tarts :
Rating: 4.375
Pret: 41.0

10999 Sukiyaki with Red Snapper :
Rating: 2.5
Pret: 70.0

11000 Summer Berry Mint Cream Tart :
Rating: 4.375
Pret: 95.0

11001 Summer Corn Chowder with Bacon :
Rating: 4.375
Pret: 83.0

11002 Summer Crudités with Bagna Cauda :
Rating: 4.375
Pret: 83.0

11003 Summer Fruit Terrine :
Rating: 4.375
Pret: 14.0

11004 Summer Fruit and Meringue Trifle :
Rating: 0.0
Pret: 62.0

11005 Summer Garden Gazpacho :
Rating: 4.375
Pret: 63.0

11006 Summer Garden Salad with Chili-Garlic Shrimp :
Rating: 4.375
Pret: 13.0

11007 Summer Garden Tortelloni :
Rating: 4.375
Pret: 95.0

11008 Summer Melon with Basil-Mint Granita :
Rating: 3.75
Pret: 63.0

11009 Summer Rice Salad with Goat Cheese Dressing :
Rating: 3.75
Pret: 50.0

11010 Summer Rolls with Baked Tofu and Sweet-and-Savory Dipping Sauce :
Rating: 3.75
Pret: 29.0

11011 Summer Seafood Stew :
Rating: 4.375
Pret: 93.0

11012 Summer Squash Sauté :
Rating: 3.75
Pret: 57.0

11013 Summer Steak Salad with Ginger-Lime Dressing :
Rating: 4.375
Pret: 90.0

11014 Summer Strawberry Jam :
Rating: 3.75
Pret: 62.0

11015 Summer Tomato and Basil Spaghettini :
Rating: 5.0
Pret: 14.0

11016 Summer Tomato and Bell Pepper Soup :
Rating: 4.375
Pret: 71.0

11017 Summer Vegetable Ragout with Exotic Curry Sauce :
Rating: 3.125
Pret: 13.0

11018 Summer Vegetable Stew :
Rating: 4.375
Pret: 92.0

11019 Summer Vegetable Tart :
Rating: 3.75
Pret: 20.0

11020 Summer's Tomato Green Bean Bounty :
Rating: 4.375
Pret: 42.0

11021 Summer-Squash Soup with Parsley Mint Pistou :
Rating: 4.375
Pret: 78.0

11022 Sun-Dried Tomato Butter :
Rating: 3.75
Pret: 89.0

11023 Sun-Dried Tomato Onion Jam :
Rating: 3.75
Pret: 60.0

11024 Sun-Dried Tomato Sauce :
Rating: 3.75
Pret: 99.0

11025 Sun-Dried Tomato and Garlic-Crusted Rack of Lamb :
Rating: 4.375
Pret: 72.0

11026 Sun-Dried Tomato and Olive Breads :
Rating: 0.0
Pret: 50.0

11027 Sunday Frittata with Frizzled Leeks :
Rating: 4.375
Pret: 87.0

11028 Sunday Sauce with Sausage and Braciole :
Rating: 4.375
Pret: 50.0

11029 Sunday Supper Macaroni and Cheese :
Rating: 3.75
Pret: 62.0

11030 Sunset Sorbet Sundaes :
Rating: 0.0
Pret: 88.0

11031 Sunshine :
Rating: 0.0
Pret: 33.0

11032 Super Green Smoothie Bowl With Matcha and Ginger :
Rating: 3.125
Pret: 18.0

11033 Super Potato Salad :
Rating: 3.75
Pret: 33.0

11034 Super Short Ribs :
Rating: 4.375
Pret: 81.0

11035 Super Slaw :
Rating: 4.375
Pret: 70.0

11036 Super-Rich Virginia Crab Cakes :
Rating: 4.375
Pret: 44.0

11037 Super-Simple Pumpkin Tiramisu :
Rating: 4.375
Pret: 57.0

11038 Superb English Plum Pudding :
Rating: 4.375
Pret: 20.0

11039 Supper Clam Chowder :
Rating: 4.375
Pret: 96.0

11040 Surf 'n' Turf Kebabs with Cilantro-Lime Sauce :
Rating: 5.0
Pret: 49.0

11041 Surfer's Granola :
Rating: 2.5
Pret: 24.0

11042 Surprise Salad :
Rating: 2.5
Pret: 53.0

11043 Sushi Rice :
Rating: 3.75
Pret: 38.0

11044 Sushi-Roll Rice Salad :
Rating: 4.375
Pret: 88.0

11045 Sustina Sour :
Rating: 5.0
Pret: 89.0

11046 Suzanne's Scalloppine :
Rating: 4.375
Pret: 47.0

11047 Swedish Cardamom Rolls :
Rating: 4.375
Pret: 42.0

11048 Swedish Meringue Cake with Strawberries and Orange Filling :
Rating: 4.375
Pret: 92.0

11049 Sweet & Spicy Cranberry Sauce :
Rating: 0.0
Pret: 41.0

11050 Sweet & Tangy Barbecue Sauce :
Rating: 4.375
Pret: 12.0

11051 Sweet Avocado Mousse :
Rating: 3.75
Pret: 79.0

11052 Sweet Bavarian Mustard :
Rating: 0.0
Pret: 31.0

11053 Sweet Blini :
Rating: 3.75
Pret: 18.0

11054 Sweet Buttermilk Spoon Breads :
Rating: 1.875
Pret: 13.0

11055 Sweet Cheese Pie :
Rating: 2.5
Pret: 88.0

11056 Sweet Chili Sauce :
Rating: 1.875
Pret: 19.0

11057 Sweet Chili-Glazed Chicken Wings :
Rating: 3.125
Pret: 61.0

11058 Sweet Chocolate Glaze :
Rating: 4.375
Pret: 17.0

11059 Sweet Chutney :
Rating: 5.0
Pret: 13.0

11060 Sweet Corn Ice Cream With Butterscotch :
Rating: 5.0
Pret: 26.0

11061 Sweet Corn Pie :
Rating: 3.125
Pret: 34.0

11062 Sweet Corn and Tomato Salad with Fresh Cilantro :
Rating: 4.375
Pret: 97.0

11063 Sweet Cucumber and Radish Salad :
Rating: 2.5
Pret: 31.0

11064 Sweet Garlic Soy Sauce :
Rating: 2.5
Pret: 22.0

11065 Sweet Ginger Vinaigrette :
Rating: 4.375
Pret: 10.0

11066 Sweet Matzo and Cottage-Cheese Pudding :
Rating: 4.375
Pret: 98.0

11067 Sweet Mustard Sauce :
Rating: 0.0
Pret: 26.0

11068 Sweet Palmiers :
Rating: 3.75
Pret: 87.0

11069 Sweet Pastry Dough :
Rating: 5.0
Pret: 64.0

11070 Sweet Potato Bread with Caramel and Aleppo-Spiced Pecans :
Rating: 5.0
Pret: 28.0

11071 Sweet Potato Chilaquiles with Griddled Salsa Roja :
Rating: 3.75
Pret: 43.0

11072 Sweet Potato Corn Bread :
Rating: 4.375
Pret: 60.0

11073 Sweet Potato Corn Bread Stuffing with Greens and Bacon :
Rating: 4.375
Pret: 86.0

11074 Sweet Potato Curry :
Rating: 3.75
Pret: 80.0

11075 Sweet Potato Flan :
Rating: 3.75
Pret: 56.0

11076 Sweet Potato Fries with Garlic and Herbs :
Rating: 3.75
Pret: 11.0

11077 Sweet Potato Fritters :
Rating: 0.0
Pret: 76.0

11078 Sweet Potato Gnocchi with Brown Butter and Sage :
Rating: 3.125
Pret: 48.0

11079 Sweet Potato Gnocchi with Fried Sage and Shaved Chestnuts :
Rating: 4.375
Pret: 61.0

11080 Sweet Potato Macaroni and Cheese :
Rating: 4.375
Pret: 70.0

11081 Sweet Potato Matzo Ball Tzimmes with Apricot Sauce :
Rating: 4.375
Pret: 30.0

11082 Sweet Potato Noodle Stir-Fry with Choy Sum and Shiitake Mushrooms :
Rating: 4.375
Pret: 20.0

11083 Sweet Potato Pie :
Rating: 3.75
Pret: 43.0

11084 Sweet Potato Pie with Three-Nut Topping :
Rating: 3.75
Pret: 45.0

11085 Sweet Potato Pudding :
Rating: 2.5
Pret: 20.0

11086 Sweet Potato Pudding with Pecan and Gingersnap Topping :
Rating: 4.375
Pret: 78.0

11087 Sweet Potato Purée with Brown Sugar and Sherry :
Rating: 4.375
Pret: 29.0

11088 Sweet Potato Purée with Goat Cheese and Truffle Oil :
Rating: 4.375
Pret: 11.0

11089 Sweet Potato Rolls :
Rating: 4.375
Pret: 61.0

11090 Sweet Potato Salad with Chili-Lime Dressing :
Rating: 3.75
Pret: 38.0

11091 Sweet Potato Salad with Orange-Maple Dressing :
Rating: 4.375
Pret: 18.0

11092 Sweet Potato Soufflé :
Rating: 4.375
Pret: 52.0

11093 Sweet Potato Soup :
Rating: 4.375
Pret: 42.0

11094 Sweet Potato Soup with Buttered Pecans :
Rating: 3.75
Pret: 12.0

11095 Sweet Potato Soup with Fried Pancetta and Rosemary Croutons :
Rating: 4.375
Pret: 41.0

11096 Sweet Potato Streusel :
Rating: 5.0
Pret: 68.0

11097 Sweet Potato Tart with Coconut Crust and Pecan Streusel :
Rating: 4.375
Pret: 87.0

11098 Sweet Potato Tart with Pecans and Marshmallows :
Rating: 4.375
Pret: 24.0

11099 Sweet Potato Tempura and Steak Sandwich with Bok Choy and Miso Mayo :
Rating: 3.125
Pret: 100.0

11100 Sweet Potato Turnovers with Sweet Kraut :
Rating: 3.75
Pret: 14.0

11101 Sweet Potato and Apple Dressing :
Rating: 3.75
Pret: 39.0

11102 Sweet Potato and Apple Purée :
Rating: 2.5
Pret: 83.0

11103 Sweet Potato and Apricot Purée with Pecan Streusel :
Rating: 4.375
Pret: 70.0

11104 Sweet Potato and Gruyère Soufflé :
Rating: 4.375
Pret: 91.0

11105 Sweet Potato and Kim Chi Pancakes :
Rating: 4.375
Pret: 32.0

11106 Sweet Potato and Molasses Muffins :
Rating: 3.75
Pret: 66.0

11107 Sweet Potato and Roasted Mushroom Stuffing :
Rating: 0.0
Pret: 16.0

11108 Sweet Potato and Sausage Gratin with Thyme :
Rating: 3.75
Pret: 28.0

11109 Sweet Potato and Sausage Soup :
Rating: 4.375
Pret: 89.0

11110 Sweet Potato and Yam Galette :
Rating: 4.375
Pret: 80.0

11111 Sweet Potato with Toasted Coconut :
Rating: 5.0
Pret: 35.0

11112 Sweet Potatoes and Greens with Honey-Mustard Glaze :
Rating: 4.375
Pret: 49.0

11113 Sweet Potatoes with Apple Juice and Spices :
Rating: 2.5
Pret: 73.0

11114 Sweet Potatoes with Orange Bitters :
Rating: 3.75
Pret: 57.0

11115 Sweet Potato–Chickpea-Quinoa Burgers :
Rating: 4.375
Pret: 97.0

11116 Sweet Potato–Miso Pie With Chocolate-Sesame Crust :
Rating: 5.0
Pret: 75.0

11117 Sweet Rosemary Syrup :
Rating: 3.125
Pret: 38.0

11118 Sweet Shallot Vinaigrette :
Rating: 1.25
Pret: 38.0

11119 Sweet Spiced Nuts :
Rating: 4.375
Pret: 70.0

11120 Sweet Stuffed Capon :
Rating: 4.375
Pret: 64.0

11121 Sweet Tea with Vodka and Lemonade :
Rating: 4.375
Pret: 18.0

11122 Sweet Yogurt Cheese with Minted Strawberries :
Rating: 4.375
Pret: 16.0

11123 Sweet and Chunky Apple Butter :
Rating: 4.375
Pret: 42.0

11124 Sweet and Sour Crab Salad :
Rating: 4.375
Pret: 19.0

11125 Sweet and Sour Pickles :
Rating: 2.5
Pret: 12.0

11126 Sweet and Sour Pork :
Rating: 3.125
Pret: 46.0

11127 Sweet and Sour Strawberry Semifreddo with Black Sesame :
Rating: 5.0
Pret: 16.0

11128 Sweet and Spicy Bacon Kebabs With Scallion-Ginger Relish :
Rating: 0.0
Pret: 20.0

11129 Sweet and Spicy Candied Pecans :
Rating: 4.375
Pret: 34.0

11130 Sweet and Spicy Chipotle-Glazed Ribs :
Rating: 4.375
Pret: 46.0

11131 Sweet and Tangy Peach Relish :
Rating: 5.0
Pret: 60.0

11132 Sweet and Tangy Roasted Tomatoes :
Rating: 0.0
Pret: 81.0

11133 Sweet-Hot BBQ Tater Fries :
Rating: 4.375
Pret: 30.0

11134 Sweet-Onion Quesadillas :
Rating: 4.375
Pret: 30.0

11135 Sweet-Potato Coconut Purée :
Rating: 4.375
Pret: 75.0

11136 Sweet-Potato Flans :
Rating: 3.75
Pret: 56.0

11137 Sweet-Potato Fritters :
Rating: 3.75
Pret: 92.0

11138 Sweet-Potato Gaufrettes with Duck Confit and Cranberry Black Pepper Chutney :
Rating: 3.75
Pret: 89.0

11139 Sweet-Potato Gratins :
Rating: 3.75
Pret: 33.0

11140 Sweet-Potato Hash :
Rating: 4.375
Pret: 65.0

11141 Sweet-Potato Hash with Bacon :
Rating: 4.375
Pret: 49.0

11142 Sweet-Potato Layer Cake with Orange-Cream Cheese Frosting :
Rating: 5.0
Pret: 48.0

11143 Sweet-Potato Pancakes with Caviar :
Rating: 4.375
Pret: 86.0

11144 Sweet-Potato Pancakes with Honey-Cinnamon Butter :
Rating: 5.0
Pret: 79.0

11145 Sweet-Potato Pie with Gingersnap Pecan Crust :
Rating: 3.75
Pret: 64.0

11146 Sweet-Potato Salad with Mustard Viniagrette :
Rating: 4.375
Pret: 20.0

11147 Sweet-Potato Salad with Spicy Peanut Dressing :
Rating: 4.375
Pret: 89.0

11148 Sweet-Potato Soup with Nutmeg and Maple Syrup :
Rating: 4.375
Pret: 95.0

11149 Sweet-Potato Sticks with Mustard Seeds and Ginger :
Rating: 3.75
Pret: 12.0

11150 Sweet-Potato and Orange Hobo Packs :
Rating: 4.375
Pret: 71.0

11151 Sweet-Potato and Parsnip Purée :
Rating: 4.375
Pret: 65.0

11152 Sweet-Potato-Parmesan Gratin :
Rating: 3.75
Pret: 73.0

11153 Sweet-Potato-Pecan Pie :
Rating: 4.375
Pret: 66.0

11154 Sweet-and-Sour Baby Carrots :
Rating: 3.75
Pret: 89.0

11155 Sweet-and-Sour Balsamic-Glazed Spareribs :
Rating: 4.375
Pret: 41.0

11156 Sweet-and-Sour Brisket :
Rating: 4.375
Pret: 87.0

11157 Sweet-and-Sour Brisket with Shallots and New Potatoes :
Rating: 4.375
Pret: 81.0

11158 Sweet-and-Sour Brussels Sprouts with Fresh Dill :
Rating: 3.125
Pret: 99.0

11159 Sweet-and-Sour Cabbage :
Rating: 3.75
Pret: 39.0

11160 Sweet-and-Sour Celery :
Rating: 3.75
Pret: 27.0

11161 Sweet-and-Sour Cherry Turnovers with Goat Cheese Cream :
Rating: 5.0
Pret: 78.0

11162 Sweet-and-Sour Cipolline Onions :
Rating: 3.75
Pret: 71.0

11163 Sweet-and-Sour Fish :
Rating: 4.375
Pret: 51.0

11164 Sweet-and-Sour Mix II :
Rating: 5.0
Pret: 22.0

11165 Sweet-and-Sour Onion Topping :
Rating: 5.0
Pret: 93.0

11166 Sweet-and-Sour Radicchio :
Rating: 4.375
Pret: 27.0

11167 Sweet-and-Sour Red Cabbage and Fennel :
Rating: 3.75
Pret: 65.0

11168 Sweet-and-Sour Stuffed Mustard Cabbage :
Rating: 3.75
Pret: 15.0

11169 Sweet-and-Sour Tomato Chutney :
Rating: 5.0
Pret: 60.0

11170 Sweet-and-Spicy Dipping Sauce :
Rating: 4.375
Pret: 15.0

11171 Sweet-and-Spicy Mixed Nuts :
Rating: 5.0
Pret: 74.0

11172 Sweet-and-Tart Cranberry Sauce :
Rating: 5.0
Pret: 95.0

11173 Sweetened Strawberries :
Rating: 3.125
Pret: 28.0

11174 Sweetened Whipped Cream :
Rating: 4.375
Pret: 71.0

11175 Sweet–potato Chips with Lime Salt :
Rating: 3.75
Pret: 20.0

11176 Swiss Chard Gratin :
Rating: 4.375
Pret: 61.0

11177 Swiss Chard Lasagna with Ricotta and Mushroom :
Rating: 5.0
Pret: 28.0

11178 Swiss Chard Ricotta Gnudi with Fall Mushrooms :
Rating: 3.75
Pret: 73.0

11179 Swiss Chard and Beet Sauté :
Rating: 3.75
Pret: 62.0

11180 Swiss Chard and Herb Tart :
Rating: 4.375
Pret: 78.0

11181 Swiss Chard with Horseradish :
Rating: 3.75
Pret: 72.0

11182 Swiss Chard with Raisins and Almonds :
Rating: 4.375
Pret: 13.0

11183 Swiss Chard with Raisins and Pine Nuts :
Rating: 4.375
Pret: 28.0

11184 Swiss Chard with Roasted Pepper :
Rating: 3.75
Pret: 37.0

11185 Swiss Cheese with Walnuts and Mustard :
Rating: 3.125
Pret: 99.0

11186 Swiss Honey-Walnut Tart :
Rating: 4.375
Pret: 41.0

11187 Swordfish Kebabs :
Rating: 4.375
Pret: 26.0

11188 Swordfish Souvlaki :
Rating: 3.125
Pret: 88.0

11189 Swordfish Stemperata :
Rating: 4.375
Pret: 41.0

11190 Swordfish Tacos :
Rating: 4.375
Pret: 88.0

11191 Swordfish and Caponata Sandwiches :
Rating: 1.875
Pret: 58.0

11192 Swordfish with Balsamic Brown Butter Sauce :
Rating: 4.375
Pret: 94.0

11193 Swordfish with Herb Sauce :
Rating: 4.375
Pret: 60.0

11194 Swordfish with Lime-Ginger Glaze :
Rating: 4.375
Pret: 21.0

11195 Szechuan Steak au Poivre with Port-Ginger Sauce :
Rating: 4.375
Pret: 90.0

11196 Szechuan-Flavored Country-Style Spareribs :
Rating: 4.375
Pret: 24.0

11197 Szechwan-Style Eggplant with Pita Wedges :
Rating: 4.375
Pret: 95.0

11198 T-Bone Steak with Thyme and Garlic Butter :
Rating: 5.0
Pret: 71.0

11199 Tacchino Ripieno :
Rating: 0.0
Pret: 30.0

11200 Tacos al Pastor :
Rating: 4.375
Pret: 85.0

11201 Tadka Dhal :
Rating: 3.125
Pret: 60.0

11202 Tagine Bil Kok :
Rating: 4.375
Pret: 53.0

11203 Tagliatelle with Duck Ragù :
Rating: 4.375
Pret: 69.0

11204 Tagliatelle with Fresh Corn Pesto :
Rating: 4.375
Pret: 28.0

11205 Tagliatelle with Smoked Salmon Cream Sauce :
Rating: 3.75
Pret: 58.0

11206 Tagliatelle with Zucchini and Shrimp :
Rating: 4.375
Pret: 55.0

11207 Taglierini with Caramelized Scallops and Rosemary Beurre Blanc :
Rating: 5.0
Pret: 72.0

11208 Tahini Chicken Salad :
Rating: 3.75
Pret: 49.0

11209 Tahini Sauce :
Rating: 5.0
Pret: 38.0

11210 Taiwanese Beef Noodle Soup :
Rating: 5.0
Pret: 20.0

11211 Tamales de Mole Poblano :
Rating: 0.0
Pret: 43.0

11212 Tamarind Ginger Cooler :
Rating: 3.75
Pret: 72.0

11213 Tamarind Mango Sangria :
Rating: 3.75
Pret: 43.0

11214 Tamarind and Vodka Cocktail :
Rating: 3.75
Pret: 32.0

11215 Tamarind-Glazed Turkey Burgers :
Rating: 2.5
Pret: 43.0

11216 Tamarind-Honey Lamb Kebabs on Mashed Yams :
Rating: 4.375
Pret: 73.0

11217 Tandoori Chicken :
Rating: 5.0
Pret: 62.0

11218 Tandoori Chicken Salad :
Rating: 4.375
Pret: 67.0

11219 Tandoori Shrimp and Mango Salad :
Rating: 5.0
Pret: 32.0

11220 Tandoori Turkey :
Rating: 0.0
Pret: 45.0

11221 Tandoori-Spiced Chicken with Tomato-Ginger Chutney :
Rating: 3.125
Pret: 92.0

11222 Tandoori-Spiced Leg of Lamb :
Rating: 4.375
Pret: 58.0

11223 Tandoori-Style Grilled Chicken :
Rating: 3.75
Pret: 43.0

11224 Tandoori-Style Grilled Meat or Shrimp :
Rating: 3.75
Pret: 44.0

11225 Tandoori-Style Roast Chicken :
Rating: 2.5
Pret: 56.0

11226 Tangerine Chutney :
Rating: 3.75
Pret: 28.0

11227 Tangerine Granita :
Rating: 3.75
Pret: 93.0

11228 Tangerine Granita with Vanilla Bean Cream :
Rating: 4.375
Pret: 18.0

11229 Tangerine Souffles :
Rating: 5.0
Pret: 57.0

11230 Tangerine and Vanilla-Bean Marmalade :
Rating: 4.375
Pret: 59.0

11231 Tangerine-Date Tartlets with Buttermilk Whipped Cream and Tangerine Granita :
Rating: 4.375
Pret: 42.0

11232 Tangerine-Ginger Caipirinhas :
Rating: 2.5
Pret: 85.0

11233 Tangerine-Honey Flan with Grapefruit Segments :
Rating: 4.375
Pret: 47.0

11234 Tangy Avocado-Orange Salad :
Rating: 3.75
Pret: 41.0

11235 Tangy Chocolate Frosting :
Rating: 4.375
Pret: 79.0

11236 Tangy Frozen Greek Yogurt :
Rating: 4.375
Pret: 45.0

11237 Tapenade :
Rating: 3.75
Pret: 94.0

11238 Tapenade Butter :
Rating: 0.0
Pret: 47.0

11239 Tapenade Caesar with Prosciutto :
Rating: 5.0
Pret: 27.0

11240 Tapioca with Stewed Apples and Apricots :
Rating: 0.0
Pret: 25.0

11241 Tarragon Crab Salad :
Rating: 3.75
Pret: 26.0

11242 Tarragon Lime Bay Scallops Over Angel-Hair Pasta :
Rating: 3.75
Pret: 84.0

11243 Tarragon Lobster Roll :
Rating: 4.375
Pret: 28.0

11244 Tarragon Pizza Bianca :
Rating: 3.75
Pret: 56.0

11245 Tarragon Roast Turkey with Vermouth :
Rating: 5.0
Pret: 96.0

11246 Tarragon Scallop Gratins :
Rating: 3.75
Pret: 17.0

11247 Tarragon Shallot Egg Salad Sandwiches :
Rating: 4.375
Pret: 61.0
